gene_ncbi,set,type
1617,genome,gwas
1618,genome,gwas
1620,genome,gwas
1621,genome,gwas
1622,genome,gwas
203259,genome,gwas
1627,genome,gwas
1628,genome,gwas
1629,genome,gwas
1630,genome,gwas
1632,genome,gwas
1633,genome,gwas
1634,genome,gwas
1635,genome,gwas
1636,genome,gwas
100271715,genome,gwas
1638,genome,gwas
1639,genome,gwas
100861540,genome,gwas
1641,genome,gwas
1642,genome,gwas
1643,genome,gwas
1644,genome,gwas
1645,genome,gwas
1646,genome,gwas
1647,genome,gwas
132720,genome,gwas
1649,genome,gwas
1650,genome,gwas
645104,genome,gwas
132724,genome,gwas
1653,genome,gwas
1654,genome,gwas
1655,genome,gwas
1656,genome,gwas
1657,genome,gwas
1659,genome,gwas
1660,genome,gwas
1662,genome,gwas
1663,genome,gwas
1665,genome,gwas
1666,genome,gwas
1667,genome,gwas
1668,genome,gwas
1669,genome,gwas
1670,genome,gwas
1671,genome,gwas
1672,genome,gwas
1673,genome,gwas
1674,genome,gwas
1675,genome,gwas
1676,genome,gwas
1677,genome,gwas
1678,genome,gwas
111216276,genome,gwas
111216277,genome,gwas
1687,genome,gwas
1690,genome,gwas
165530,genome,gwas
165545,genome,gwas
1716,genome,gwas
1717,genome,gwas
1718,genome,gwas
1719,genome,gwas
132789,genome,gwas
1723,genome,gwas
1725,genome,gwas
1727,genome,gwas
1728,genome,gwas
1729,genome,gwas
1730,genome,gwas
1731,genome,gwas
100533952,genome,gwas
1733,genome,gwas
1734,genome,gwas
1735,genome,gwas
1736,genome,gwas
1737,genome,gwas
1738,genome,gwas
1739,genome,gwas
1740,genome,gwas
1741,genome,gwas
1742,genome,gwas
1743,genome,gwas
1745,genome,gwas
1746,genome,gwas
1747,genome,gwas
1748,genome,gwas
1749,genome,gwas
1750,genome,gwas
1755,genome,gwas
1756,genome,gwas
1757,genome,gwas
1758,genome,gwas
1759,genome,gwas
1760,genome,gwas
1761,genome,gwas
1762,genome,gwas
1763,genome,gwas
100271846,genome,gwas
1767,genome,gwas
1768,genome,gwas
1769,genome,gwas
1770,genome,gwas
1773,genome,gwas
1774,genome,gwas
1775,genome,gwas
1776,genome,gwas
1777,genome,gwas
1778,genome,gwas
132851,genome,gwas
1780,genome,gwas
1781,genome,gwas
1783,genome,gwas
1785,genome,gwas
1786,genome,gwas
1787,genome,gwas
1788,genome,gwas
1789,genome,gwas
1791,genome,gwas
132864,genome,gwas
1793,genome,gwas
1794,genome,gwas
1795,genome,gwas
1796,genome,gwas
1797,genome,gwas
1798,genome,gwas
165631,genome,gwas
1800,genome,gwas
1801,genome,gwas
1802,genome,gwas
1803,genome,gwas
1804,genome,gwas
1805,genome,gwas
1806,genome,gwas
1807,genome,gwas
1808,genome,gwas
1809,genome,gwas
1810,genome,gwas
1811,genome,gwas
1812,genome,gwas
1813,genome,gwas
1814,genome,gwas
1815,genome,gwas
1816,genome,gwas
132884,genome,gwas
1819,genome,gwas
1820,genome,gwas
1821,genome,gwas
1822,genome,gwas
1823,genome,gwas
1824,genome,gwas
1825,genome,gwas
1826,genome,gwas
1827,genome,gwas
