gene_ncbi,set
493856,genome
2339,genome
493860,genome
493861,genome
2342,genome
2346,genome
133418,genome
2348,genome
493869,genome
2350,genome
2352,genome
2353,genome
2354,genome
2355,genome
2356,genome
2357,genome
2358,genome
2359,genome
100534592,genome
100534599,genome
493901,genome
493911,genome
2395,genome
133482,genome
133491,genome
2444,genome
221527,genome
133522,genome
2475,genome
2483,genome
133558,genome
2487,genome
2488,genome
2491,genome
2492,genome
2494,genome
2495,genome
166336,genome
100141515,genome
166348,genome
169834,genome
2512,genome
133584,genome
2515,genome
2516,genome
2517,genome
2519,genome
2520,genome
2521,genome
2523,genome
2524,genome
2525,genome
2526,genome
2527,genome
2528,genome
2529,genome
2530,genome
2531,genome
2532,genome
2533,genome
2534,genome
2535,genome
2537,genome
2538,genome
2539,genome
166378,genome
166379,genome
2542,genome
2543,genome
169841,genome
2547,genome
2548,genome
2549,genome
2550,genome
2551,genome
133619,genome
2553,genome
2554,genome
2555,genome
2556,genome
2557,genome
2558,genome
2559,genome
2560,genome
2561,genome
2562,genome
2563,genome
2564,genome
2565,genome
2566,genome
2567,genome
2568,genome
2569,genome
2570,genome
2571,genome
2572,genome
2580,genome
2581,genome
2582,genome
2583,genome
2584,genome
2585,genome
2587,genome
2588,genome
2589,genome
2590,genome
2591,genome
2592,genome
2593,genome
2595,genome
2596,genome
2597,genome
494115,genome
494118,genome
494119,genome
199221,genome
133686,genome
2615,genome
133688,genome
2617,genome
2618,genome
2619,genome
2620,genome
2621,genome
2622,genome
2623,genome
2624,genome
2625,genome
2626,genome
2627,genome
2628,genome
2629,genome
494143,genome
2631,genome
2632,genome
2633,genome
2634,genome
2635,genome
2636,genome
2637,genome
2638,genome
2639,genome
729967,genome
2641,genome
2642,genome
2643,genome
2644,genome
2645,genome
2646,genome
2647,genome
2648,genome
2649,genome
2650,genome
2651,genome
2652,genome
2653,genome
2657,genome
2658,genome
2660,genome
2661,genome
2662,genome
2664,genome
2665,genome
2668,genome
2669,genome
2670,genome
2671,genome
2672,genome
2673,genome
2674,genome
2675,genome
2676,genome
2677,genome
133746,genome
494197,genome
2681,genome
2683,genome
2686,genome
2687,genome
2688,genome
2689,genome
2690,genome
2691,genome
2692,genome
2693,genome
2694,genome
2695,genome
2696,genome
2697,genome
2700,genome
2701,genome
2702,genome
2703,genome
2705,genome
2706,genome
2707,genome
2709,genome
2710,genome
2712,genome
2713,genome
2717,genome
2719,genome
2720,genome
2729,genome
2730,genome
2731,genome
2733,genome
2734,genome
2735,genome
2736,genome
2737,genome
2738,genome
2739,genome
2740,genome
2741,genome
2742,genome
2743,genome
2744,genome
2745,genome
2746,genome
2747,genome
2752,genome
2760,genome
2762,genome
2764,genome
2765,genome
2766,genome
2767,genome
2768,genome
2769,genome
2770,genome
2771,genome
100862671,genome
2773,genome
2774,genome
2775,genome
2776,genome
166614,genome
2778,genome
2779,genome
2780,genome
2781,genome
2782,genome
2783,genome
2784,genome
2785,genome
2786,genome
2787,genome
2788,genome
100129792,genome
2790,genome
2791,genome
2792,genome
2793,genome
2794,genome
2796,genome
2797,genome
2798,genome
2799,genome
2800,genome
2801,genome
2802,genome
2803,genome
2804,genome
2805,genome
2806,genome
133874,genome
166647,genome
2810,genome
2811,genome
2812,genome
2813,genome
2814,genome
2815,genome
166655,genome
2817,genome
2819,genome
2820,genome
2821,genome
2822,genome
2823,genome
2824,genome
2825,genome
2826,genome
2827,genome
2828,genome
2829,genome
2830,genome
2831,genome
2832,genome
2833,genome
2834,genome
2835,genome
2837,genome
2838,genome
2840,genome
2841,genome
2842,genome
2843,genome
2844,genome
2845,genome
2846,genome
2847,genome
2848,genome
2849,genome
2850,genome
133923,genome
2852,genome
2853,genome
2854,genome
2856,genome
2857,genome
2859,genome
2861,genome
2862,genome
2863,genome
2864,genome
2865,genome
2866,genome
2867,genome
2868,genome
2869,genome
2870,genome
101927367,genome
2872,genome
2873,genome
2874,genome
2875,genome
2876,genome
2877,genome
2878,genome
2879,genome
2880,genome
2882,genome
2885,genome
2886,genome
2887,genome
2888,genome
2889,genome
2890,genome
2891,genome
2892,genome
2893,genome
2894,genome
2895,genome
2896,genome
2897,genome
2898,genome
2899,genome
2900,genome
2901,genome
2902,genome
2903,genome
2904,genome
2905,genome
2906,genome
2907,genome
2908,genome
2909,genome
2911,genome
2912,genome
2913,genome
2914,genome
2915,genome
2916,genome
2917,genome
2918,genome
2919,genome
2920,genome
2921,genome
2922,genome
2923,genome
2925,genome
2926,genome
280636,genome
2928,genome
2931,genome
2932,genome
2934,genome
2935,genome
2936,genome
2937,genome
2938,genome
2939,genome
2940,genome
2941,genome
2944,genome
2946,genome
2947,genome
2948,genome
2949,genome
2950,genome
494470,genome
729533,genome
2953,genome
2954,genome
166793,genome
2956,genome
2957,genome
2958,genome
2959,genome
2960,genome
2961,genome
2962,genome
2963,genome
2965,genome
2966,genome
2967,genome
2968,genome
2969,genome
2971,genome
2972,genome
2975,genome
2976,genome
2977,genome
2978,genome
2979,genome
2980,genome
2981,genome
2982,genome
2983,genome
2984,genome
166824,genome
2986,genome
2987,genome
2990,genome
2992,genome
2993,genome
2994,genome
2995,genome
2996,genome
2997,genome
2998,genome
2999,genome
3000,genome
3001,genome
3002,genome
3003,genome
3004,genome
3005,genome
3006,genome
3007,genome
3008,genome
3009,genome
3010,genome
134083,genome
3012,genome
3013,genome
3014,genome
3015,genome
3017,genome
3018,genome
3020,genome
3021,genome
166863,genome
3024,genome
3026,genome
3028,genome
3029,genome
3030,genome
494551,genome
3032,genome
3033,genome
3034,genome
3035,genome
3036,genome
3037,genome
3038,genome
3039,genome
3040,genome
134111,genome
3042,genome
3043,genome
280658,genome
3045,genome
3046,genome
3047,genome
3048,genome
3049,genome
3050,genome
134121,genome
3052,genome
3053,genome
3054,genome
3055,genome
645382,genome
3059,genome
3060,genome
3061,genome
3062,genome
3064,genome
3065,genome
3066,genome
3067,genome
3068,genome
3069,genome
3070,genome
3071,genome
199675,genome
3073,genome
3074,genome
134145,genome
134147,genome
3077,genome
3078,genome
3080,genome
3081,genome
3082,genome
3083,genome
3084,genome
199692,genome
3087,genome
166929,genome
3090,genome
3091,genome
3092,genome
3093,genome
3094,genome
124359,genome
3096,genome
3097,genome
3098,genome
3099,genome
199699,genome
3101,genome
199704,genome
3104,genome
3105,genome
3106,genome
3107,genome
3108,genome
3109,genome
3110,genome
3111,genome
3112,genome
3113,genome
199713,genome
3115,genome
134187,genome
3117,genome
3118,genome
3119,genome
3120,genome
199720,genome
3122,genome
3123,genome
199731,genome
3127,genome
166968,genome
3131,genome
3133,genome
3134,genome
3135,genome
199745,genome
199746,genome
166979,genome
3140,genome
3141,genome
3142,genome
3145,genome
3146,genome
134218,genome
3148,genome
3149,genome
3150,genome
3151,genome
645402,genome
3155,genome
3156,genome
3157,genome
3158,genome
3159,genome
3161,genome
3162,genome
3163,genome
3164,genome
3166,genome
3167,genome
3169,genome
3170,genome
3171,genome
3172,genome
