gene_ncbi,citation_count,pub_count_previous,year
229,33.0,0,1985
246,54.0,0,1985
250,13.0,1,1985
283,259.0,0,1985
325,97.0,0,1985
335,344.0,16,1985
336,31.0,8,1985
338,76.0,3,1985
341,30.0,1,1985
345,70.0,2,1985
348,188.0,11,1985
462,70.0,10,1985
529,17.0,0,1985
567,164.0,2,1985
613,852.0,1,1985
712,75.0,3,1985
721,107.0,1,1985
722,29.0,1,1985
735,171.0,1,1985
760,26.0,7,1985
761,20.0,3,1985
796,152.0,4,1985
885,234.0,0,1985
920,402.0,1,1985
923,14.0,2,1985
925,93.5,1,1985
1267,27.0,0,1985
1277,115.0,0,1985
1280,98.0,1,1985
1290,81.0,2,1985
1356,5.0,4,1985
1378,99.0,3,1985
1401,116.0,7,1985
1435,618.0,0,1985
1436,27.0,0,1985
1437,295.0,0,1985
1448,49.0,0,1985
1476,111.0,0,1985
1508,59.0,2,1985
1509,332.0,2,1985
1511,17.0,2,1985
1528,21.0,2,1985
1543,162.0,0,1985
1589,380.0,0,1985
1674,117.0,0,1985
1719,41.0,8,1985
1791,47.0,1,1985
1956,197.0,7,1985
1974,147.0,0,1985
2006,47.0,2,1985
2026,316.0,1,1985
2056,978.0,1,1985
2086,90.0,1,1985
2147,12.0,11,1985
2152,29.0,0,1985
2158,80.0,3,1985
2161,171.0,3,1985
2162,87.0,0,1985
2168,96.0,0,1985
2217,158.0,5,1985
2244,75.0,18,1985
2246,311.0,0,1985
2268,76.0,0,1985
2312,218.0,0,1985
2335,42.0,10,1985
2353,426.0,1,1985
2512,30.0,0,1985
2538,5.0,0,1985
2539,17.0,8,1985
2597,1996.0,8,1985
2638,87.5,1,1985
2688,42.5,25,1985
2691,112.0,3,1985
2739,23.5,2,1985
2796,263.0,3,1985
2908,318.0,0,1985
2990,20.5,2,1985
2995,23.0,1,1985
3043,102.0,14,1985
3046,62.0,6,1985
3047,169.0,7,1985
3105,299.0,1,1985
3106,33.0,3,1985
3107,56.0,1,1985
3122,190.0,5,1985
3156,14.0,1,1985
3240,132.0,8,1985
3263,82.5,3,1985
3265,3.0,2,1985
3308,612.0,0,1985
3458,30.0,4,1985
3479,66.0,2,1985
3481,99.0,2,1985
3512,83.0,2,1985
3558,555.0,11,1985
3559,3.0,0,1985
3560,118.0,0,1985
3630,56.0,22,1985
3643,1755.5,2,1985
3683,97.0,0,1985
3795,49.0,0,1985
3845,50.0,8,1985
3931,44.0,3,1985
3938,29.0,0,1985
3939,71.0,2,1985
3949,407.5,4,1985
4051,73.0,0,1985
4128,45.0,1,1985
4151,14.5,3,1985
4155,40.0,3,1985
4282,6.0,0,1985
4311,339.0,0,1985
4342,69.0,2,1985
4353,149.0,0,1985
4477,79.0,1,1985
4609,67.0,14,1985
4613,35.0,2,1985
4638,127.0,0,1985
4695,5.0,0,1985
4790,187.0,0,1985
4804,135.0,0,1985
4828,12.0,0,1985
4893,91.0,5,1985
5009,91.0,3,1985
5053,208.0,1,1985
5155,73.0,5,1985
5236,5.0,1,1985
5265,173.0,10,1985
5327,26.0,2,1985
5354,198.0,1,1985
5422,50.5,2,1985
5443,29.5,11,1985
5473,17.0,4,1985
5539,38.0,1,1985
5544,12.0,0,1985
5619,113.0,0,1985
5624,376.0,2,1985
5697,857.0,0,1985
5950,78.0,1,1985
5966,35.0,0,1985
